,LineNumber,Syllable,Anceps,Lucus,Unnamed: 4,Unnamed: 5
946,442.0,-,,space,,
947,442.0,red,long,long,,
948,442.0,di,short,short,,
949,442.0,tum,long,long,,
950,442.0,-,,space,,
951,442.0,cor,UNK,short,,
952,442.0,pus,long,long,,
953,442.0,-,,space,,
954,442.0,ro,short,short,,
955,442.0,go,UNK,long,,
956,442.0,-,,space,,
957,443.0,spar,UNK,short,,
958,443.0,sum,long,long,,
959,443.0,-,,space,,
960,443.0,cru,short,short,,
961,443.0,o,long,long,,
962,443.0,re,UNK,short,,
963,443.0,-,,space,,
964,443.0,re,long,long,,
965,443.0,gis,short,short,,
966,443.0,-,,space,,
967,443.0,her,long,long,,
968,443.0,ce,UNK,short,?,no wikitionary entry
969,443.0,um,long,long,,
970,443.0,-,,space,,
971,443.0,io,short,short,,
972,443.0,vem,UNK,short,,
973,443.0,-,,space,,
974,444.0,tunc,UNK,short,,
975,444.0,-,,space,,
976,444.0,qui,long,long,,
977,444.0,-,,space,,
978,444.0,ia,short,short,,
979,444.0,cen,long,long,,
980,444.0,te,UNK,short,,
981,444.0,-,,space,,
982,444.0,re,short,short,,
983,444.0,ci,short,short,,
984,444.0,pro,short,short,,
985,444.0,cus,long,long,,
986,444.0,-,,space,,
987,444.0,lu,UNK,long,,
988,444.0,dit,long,long,,
989,444.0,-,,space,,
990,444.0,sa,short,short,,
991,444.0,lo,UNK,long,,
992,444.0,-,,space,,
993,445.0,tu,short,short,,
994,445.0,mi,short,short,,
995,445.0,dum,long,long,,
996,445.0,que,short,short,,
997,445.0,-,,space,,
998,445.0,pan,long,long,,
999,445.0,do,UNK,long,,
1000,445.0,-,,space,,
1001,445.0,tran,long,long,,
1002,445.0,si,short,short,,
1003,445.0,lit,long,long,,
1004,445.0,-,,space,,
1005,445.0,dor,UNK,short,,
1006,445.0,so,long,long,,
1007,445.0,-,,space,,
1008,445.0,ma,short,short,,
1009,445.0,re,UNK,short,,
1010,445.0,-,,space,,
1011,446.0,tyr,UNK,UNK,,
1012,446.0,rhe,long,long,,
1013,446.0,nus,short,short,,
1014,446.0,-,,space,,
1015,446.0,om,long,long,,
1016,446.0,ni,UNK,short,,
1017,446.0,-,,space,,
1018,446.0,pis,long,long,,
1019,446.0,cis,short,short,,
1020,446.0,-,,space,,
1021,446.0,ex,long,long,,
1022,446.0,ul,UNK,short,,
1023,446.0,tat,long,long,,
1024,446.0,-,,space,,
1025,446.0,fre,short,short,,
1026,446.0,to,UNK,long,,
1027,446.0,-,,space,,
1028,447.0,a,short,short,,
1029,447.0,gi,short,short,,
1030,447.0,tat,long,long,,
1031,447.0,que,short,short,,
1032,447.0,-,,space,,
1033,447.0,gy,long,long,,
1034,447.0,ros,UNK,long,,
1035,447.0,-,,space,,
1036,447.0,et,long,long,,
1037,447.0,-,,space,,
1038,447.0,co,short,short,,
1039,447.0,mes,long,long,,
1040,447.0,-,,space,,
1041,447.0,la,short,short,,
1042,447.0,te,short,short,,
1043,447.0,ri,elision,elision,,
1044,447.0,-,,space,,
1045,447.0,ad,long,long,,
1046,447.0,na,short,short,,
1047,447.0,tat,UNK,short,,
1048,447.0,-,,space,,
1049,448.0,an,UNK,short,,
1050,448.0,tei,long,long,,
1051,448.0,re,short,short,,
1052,448.0,-,,space,,
1053,448.0,na,long,long,,
1054,448.0,ves,UNK,long,,
1055,448.0,-,,space,,
1056,448.0,lae,UNK,long,,
1057,448.0,tus,short,short,,
1058,448.0,-,,space,,
1059,448.0,et,long,long,,
1060,448.0,-,,space,,
1061,448.0,rur,UNK,long,,
1062,448.0,sus,long,long,,
1063,448.0,-,,space,,
1064,448.0,se,short,short,,
1065,448.0,qui,UNK,long,,
1066,448.0,-,,space,,
1067,449.0,nunc,UNK,short,,
1068,449.0,-,,space,,
1069,449.0,pri,long,long,,
1070,449.0,ma,short,short,,
1071,449.0,-,,space,,
1072,449.0,tan,long,long,,
1073,449.0,gens,UNK,long,,
1074,449.0,-,,space,,
1075,449.0,ros,long,long,,
1076,449.0,tra,short,short,,
1077,449.0,-,,space,,
1078,449.0,las,long,long,,
1079,449.0,ci,UNK,long,,
1080,449.0,vit,long,long,,
1081,449.0,-,,space,,
1082,449.0,cho,short,short,,
1083,449.0,rus,UNK,short,,
1084,449.0,-,,space,,
1085,450.0,mil,UNK,long,,
1086,450.0,le,long,long,,
1087,450.0,si,short,short,,
1088,450.0,mam,long,long,,
1089,450.0,-,,space,,
1090,450.0,nunc,UNK,short,,
1091,450.0,-,,space,,
1092,450.0,am,long,long,,
1093,450.0,bit,short,short,,
1094,450.0,-,,space,,
1095,450.0,et,long,long,,
1096,450.0,-,,space,,
1097,450.0,lus,UNK,long,,
1098,450.0,trat,long,long,,
1099,450.0,-,,space,,
1100,450.0,ra,short,short,,
1101,450.0,tem,UNK,short,,
1102,451.0,iam,UNK,short,,
1103,451.0,-,,space,,
1104,451.0,li,long,long,,
1105,451.0,tus,short,short,,
1106,451.0,-,,space,,
1107,451.0,om,long,long,,
1108,451.0,ne,UNK,short,,
1109,451.0,-,,space,,
1110,451.0,te,short,short,,
1111,451.0,gi,short,short,,
1112,451.0,tur,short,short,,
1113,451.0,-,,space,,
1114,451.0,et,long,long,,
1115,451.0,-,,space,,
1116,451.0,cam,UNK,short,,
1117,451.0,pi,long,long,,
1118,451.0,-,,space,,
1119,451.0,la,short,short,,
1120,451.0,tent,UNK,short,,
1121,451.0,-,,space,,
1122,452.0,et,UNK,short,,
1123,452.0,-,,space,,
1124,452.0,du,short,short,,
1125,452.0,bi,short,short,,
1126,452.0,a,short,short,,
1127,452.0,-,,space,,
1128,452.0,pe,short,short,,
1129,452.0,re,short,short,,
1130,452.0,unt,UNK,short,,
1131,452.0,-,,space,,
1132,452.0,mon,long,long,,
1133,452.0,tis,short,short,,
1134,452.0,-,,space,,
1135,452.0,i,long,long,,
1136,452.0,dae,UNK,long,,
1137,452.0,i,long,long,,
1138,452.0,-,,space,,
1139,452.0,iu,short,short,,
1140,452.0,ga,UNK,short,,
1141,452.0,-,,space,,
1142,453.0,et,UNK,short,,
1143,453.0,-,,space,,
1144,453.0,vix,long,long,,
1145,453.0,-,,space,,
1146,453.0,quod,short,short,,
1147,453.0,-,,space,,
1148,453.0,u,long,long,,
1149,453.0,num,UNK,short,,
1150,453.0,-,,space,,
1151,453.0,per,long,long,,
1152,453.0,vi,short,short,,
1153,453.0,cax,long,long,,
1154,453.0,-,,space,,
1155,453.0,a,short,short,,
1156,453.0,ci,short,short,,
1157,453.0,es,long,long,,
1158,453.0,-,,space,,
1159,453.0,vi,short,short,,
1160,453.0,det,UNK,short,,
1161,453.0,-,,space,,
1162,454.0,i,UNK,long,,
1163,454.0,li,short,short,,
1164,454.0,a,short,short,,
1165,454.0,cus,short,short,,
1166,454.0,-,,space,,
1167,454.0,a,long,long,,
1168,454.0,tra,UNK,long,?,ablative?
1169,454.0,-,,space,,
1170,454.0,fu,long,long,,
1171,454.0,mus,short,short,,
1172,454.0,-,,space,,
1173,454.0,ap,long,long,,
1174,454.0,pa,UNK,long,,
1175,454.0,ret,long,long,,
1176,454.0,-,,space,,
1177,454.0,no,short,short,,
1178,454.0,ta,UNK,long,?,ablative?
1179,454.0,-,,space,,
1180,455.0,iam,UNK,short,,
1181,455.0,-,,space,,
1182,455.0,las,long,long,,
1183,455.0,sa,short,short,,
1184,455.0,-,,space,,
1185,455.0,ti,long,long,,
1186,455.0,tan,UNK,long,?,Pinkster says long
1187,455.0,-,,space,,
1188,455.0,col,long,long,,
1189,455.0,la,short,short,,
1190,455.0,-,,space,,
1191,455.0,re,short,short,,
1192,455.0,le,short,short,,
1193,455.0,va,UNK,long,,
1194,455.0,bat,long,long,,
1195,455.0,-,,space,,
1196,455.0,iu,short,short,,
1197,455.0,go,UNK,long,,
1198,455.0,-,,space,,
1199,456.0,in,UNK,short,,
1200,456.0,-,,space,,
1201,456.0,as,long,long,,
1202,456.0,tra,short,short,,
1203,456.0,-,,space,,
1204,456.0,iam,long,long,,
1205,456.0,-,,space,,
1206,456.0,lux,UNK,long,,
1207,456.0,-,,space,,
1208,456.0,pro,long,long,,
1209,456.0,na,short,short,,
1210,456.0,-,,space,,
1211,456.0,iam,long,long,,
1212,456.0,-,,space,,
1213,456.0,prae,UNK,long,,
1214,456.0,ceps,long,long,,
1215,456.0,di,short,short,,
1216,456.0,es,UNK,long,,
1217,456.0,-,,space,,
1218,457.0,ex,UNK,short,,
1219,457.0,i,short,short,,
1220,457.0,gu,short,short,,
1221,457.0,a,short,short,,
1222,457.0,-,,space,,
1223,457.0,nu,long,long,,
1224,457.0,bes,UNK,long,,
1225,457.0,-,,space,,
1226,457.0,sor,long,long,,
1227,457.0,di,short,short,,
1228,457.0,do,long,long,,
1229,457.0,-,,space,,
1230,457.0,cres,UNK,long,,
1231,457.0,cens,long,long,,
1232,457.0,-,,space,,
1233,457.0,glo,short,short,,
1234,457.0,bo,UNK,long,,
1235,457.0,-,,space,,
1236,458.0,ni,short,short,,
1237,458.0,ti,short,short,,
1238,458.0,dum,long,long,,
1239,458.0,-,,space,,
1240,458.0,ca,short,short,,
1241,458.0,den,long,long,,
1242,458.0,tis,UNK,short,,
1243,458.0,-,,space,,
1244,458.0,in,long,long,,
1245,458.0,qui,short,short,,
1246,458.0,nat,long,long,,
1247,458.0,-,,space,,
1248,458.0,phoe,UNK,long,?,diphthong?
1249,458.0,bi,long,long,,
1250,458.0,-,,space,,
1251,458.0,iu,short,short,,
1252,458.0,bar,UNK,short,,
1253,458.0,-,,space,,
1254,459.0,sus,UNK,short,,
1255,459.0,pec,long,long,,
1256,459.0,ta,short,short,,
1257,459.0,-,,space,,
1258,459.0,va,short,short,,
1259,459.0,ri,short,short,,
1260,459.0,us,UNK,short,,
1261,459.0,-,,space,,
1262,459.0,oc,long,long,,
1263,459.0,ci,short,short,,
1264,459.0,dens,long,long,,
1265,459.0,-,,space,,
1266,459.0,fe,UNK,long,,
1267,459.0,cit,long,long,,
1268,459.0,-,,space,,
1269,459.0,fre,short,short,,
1270,459.0,ta,UNK,short,,
1271,459.0,-,,space,,
1272,460.0,nox,UNK,short,,
1273,460.0,-,,space,,
1274,460.0,pri,long,long,,
1275,460.0,ma,short,short,,
1276,460.0,-,,space,,
1277,460.0,cae,UNK,long,,
1278,460.0,lum,UNK,short,,
1279,460.0,-,,space,,
1280,460.0,spar,long,long,,
1281,460.0,se,short,short,,
1282,460.0,rat,long,long,,
1283,460.0,-,,space,,
1284,460.0,stel,UNK,long,,
1285,460.0,lis,long,long,,
1286,460.0,-,,space,,
1287,460.0,ia,short,short,,
1288,460.0,cent,UNK,short,,
1289,460.0,-,,space,,
1290,461.0,de,UNK,UNK,,
1291,461.0,ser,long,long,,
1292,461.0,ta,short,short,,
1293,461.0,-,,space,,
1294,461.0,ven,long,long,,
1295,461.0,to,UNK,long,,
1296,461.0,-,,space,,
1297,461.0,ve,long,long,,
1298,461.0,la,short,short,,
1299,461.0,-,,space,,
1300,461.0,tum,long,long,,
1301,461.0,-,,space,,
1302,461.0,mur,UNK,short,,
1303,461.0,mur,long,long,,
1304,461.0,-,,space,,
1305,461.0,gra,short,short,,
1306,461.0,ve,UNK,short,,
1307,461.0,-,,space,,
1308,462.0,ma,UNK,long,,
1309,462.0,io,long,long,,
1310,462.0,ra,short,short,,
1311,462.0,-,,space,,
1312,462.0,mi,short,short,,
1313,462.0,ni,short,short,,
1314,462.0,tans,UNK,long,,
1315,462.0,-,,space,,
1316,462.0,col,long,long,,
1317,462.0,li,short,short,,
1318,462.0,bus,long,long,,
1319,462.0,-,,space,,
1320,462.0,sum,UNK,short,,
1321,462.0,mis,long,long,,
1322,462.0,-,,space,,
1323,462.0,ca,short,short,,
1324,462.0,dit,UNK,short,,
1325,462.0,-,,space,,
1326,463.0,trac,UNK,short,,
1327,463.0,tu,long,long,,
1328,463.0,que,short,short,,
1329,463.0,-,,space,,
1330,463.0,lon,long,long,,
1331,463.0,go,UNK,long,,
1332,463.0,-,,space,,
1333,463.0,li,long,long,,
1334,463.0,tus,short,short,,
1335,463.0,-,,space,,
1336,463.0,ac,long,long,,
1337,463.0,-,,space,,
1338,463.0,pe,UNK,short,,
1339,463.0,trae,UNK,long,,
1340,463.0,-,,space,,
1341,463.0,ge,short,short,,
1342,463.0,munt,UNK,short,,
1343,463.0,-,,space,,
1344,464.0,a,short,short,,
1345,464.0,gi,short,short,,
1346,464.0,ta,long,long,,
1347,464.0,ta,short,short,,
1348,464.0,-,,space,,
1349,464.0,ven,long,long,,
1350,464.0,tis,UNK,long,,
1351,464.0,-,,space,,
1352,464.0,un,long,long,,
1353,464.0,da,short,short,,
1354,464.0,-,,space,,
1355,464.0,ven,long,long,,
1356,464.0,tu,UNK,long,,
1357,464.0,ris,long,long,,
1358,464.0,-,,space,,
1359,464.0,tu,short,short,,
1360,464.0,met,UNK,short,,
1361,464.0,-,,space,,
1362,465.0,nec,UNK,short,,
1363,465.0,-,,space,,
1364,465.0,u,long,long,,
1365,465.0,na,short,short,,
1366,465.0,-,,space,,
1367,465.0,nox,long,long,,
1368,465.0,-,,space,,
1369,465.0,est,UNK,short,,
1370,465.0,-,,space,,
1371,465.0,den,long,long,,
1372,465.0,sa,short,short,,
1373,465.0,-,,space,,
1374,465.0,te,short,short,,
1375,465.0,ne,short,short,,
1376,465.0,bras,UNK,long,,
1377,465.0,-,,space,,
1378,465.0,ob,long,long,,
1379,465.0,ru,short,short,,
1380,465.0,it,UNK,short,,
1381,465.0,-,,space,,
1382,466.0,ca,UNK,long,,
1383,466.0,li,long,long,,
1384,466.0,go,elision,elision,,
1385,466.0,-,,space,,
1386,466.0,et,short,short,,
1387,466.0,-,,space,,
1388,466.0,om,long,long,,
1389,466.0,ni,UNK,long,,
1390,466.0,-,,space,,
1391,466.0,lu,long,long,,
1392,466.0,ce,short,short,,
1393,466.0,-,,space,,
1394,466.0,sub,long,long,,
1395,466.0,duc,UNK,short,,
1396,466.0,ta,long,long,,
1397,466.0,-,,space,,
1398,466.0,fre,short,short,,
1399,466.0,tum,UNK,short,,
1400,466.0,-,,space,,
1401,467.0,cae,UNK,long,,
1402,467.0,lum,long,long,,
1403,467.0,que,short,short,,
1404,467.0,-,,space,,
1405,467.0,mis,long,long,,
1406,467.0,cet,UNK,short,,
1407,467.0,-,,space,,
1408,467.0,un,long,long,,
1409,467.0,di,short,short,,
1410,467.0,que,elision,elision,,
1411,467.0,-,,space,,
1412,467.0,in,long,long,,
1413,467.0,cum,UNK,short,,
1414,467.0,bunt,long,long,,
1415,467.0,-,,space,,
1416,467.0,si,short,short,,
1417,467.0,mul,UNK,short,,
1418,467.0,-,,space,,
1419,468.0,ra,short,short,,
1420,468.0,pi,short,short,,
1421,468.0,unt,long,long,,
1422,468.0,que,short,short,,
1423,468.0,-,,space,,
1424,468.0,pe,short,short,,
1425,468.0,la,short,short,,
1426,468.0,gus,UNK,short,,
1427,468.0,-,,space,,
1428,468.0,in,long,long,,
1429,468.0,fi,short,short,,
1430,468.0,mo,elision,elision,,
1431,468.0,-,,space,,
1432,468.0,e,long,long,,
1433,468.0,ver,UNK,short,,
1434,468.0,sum,long,long,,
1435,468.0,-,,space,,
1436,468.0,so,short,short,,
1437,468.0,lo,UNK,long,,
1438,468.0,-,,space,,
1439,469.0,ad,UNK,short,,
1440,469.0,ver,long,long,,
1441,469.0,sus,short,short,,
1442,469.0,-,,space,,
1443,469.0,eu,short,short,,
1444,469.0,ro,short,short,,
1445,469.0,-,,space,,
1446,469.0,zep,short,short,,
1447,469.0,hy,short,short,,
1448,469.0,rus,short,short,,
1449,469.0,-,,space,,
1450,469.0,et,long,long,,
1451,469.0,-,,space,,
1452,469.0,bo,short,short,,
1453,469.0,re,short,short,,
1454,469.0,ae,UNK,long,,
1455,469.0,-,,space,,
1456,469.0,no,short,short,,
1457,469.0,tus,UNK,short,?,name? Wind?
1458,469.0,-,,space,,
1459,470.0,su,short,short,,
1460,470.0,a,short,short,,
1461,470.0,-,,space,,
1462,470.0,quis,long,long,,
1463,470.0,que,short,short,,
1464,470.0,-,,space,,
1465,470.0,mit,long,long,,
1466,470.0,tunt,UNK,short,,
1467,470.0,-,,space,,
1468,470.0,te,long,long,,
1469,470.0,la,elision,elision,,
1470,470.0,-,,space,,
1471,470.0,et,short,short,,
1472,470.0,-,,space,,
1473,470.0,in,long,long,,
1474,470.0,fes,UNK,short,,
1475,470.0,ti,long,long,,
1476,470.0,-,,space,,
1477,470.0,fre,short,short,,
1478,470.0,tum,UNK,short,,
1479,470.0,-,,space,,
1480,471.0,e,UNK,long,,
1481,471.0,mo,long,long,,
1482,471.0,li,short,short,,
1483,471.0,un,long,long,,
1484,471.0,tur,UNK,short,,
1485,471.0,-,,space,,
1486,471.0,tur,long,long,,
1487,471.0,bo,short,short,,
1488,471.0,-,,space,,
1489,471.0,con,long,long,,
1490,471.0,vo,UNK,short,,
1491,471.0,lit,long,long,,
1492,471.0,-,,space,,
1493,471.0,ma,short,short,,
1494,471.0,re,UNK,short,,
1495,471.0,-,,space,,
1496,472.0,li,short,short,,
1497,472.0,by,short,short,,
1498,472.0,cus,long,long,,
1499,472.0,-,,space,,
1500,472.0,que,elision,elision,,
1501,472.0,ha,short,short,,
1502,472.0,re,long,long,,
1503,472.0,nas,UNK,long,,
1504,472.0,-,,space,,
1505,472.0,aus,UNK,long,,
1506,472.0,ter,short,short,,
1507,472.0,-,,space,,
1508,472.0,ac,long,long,,
1509,472.0,-,,space,,
1510,472.0,syr,UNK,short,,
1511,472.0,tes,long,long,,
1512,472.0,-,,space,,
1513,472.0,a,short,short,,
1514,472.0,git,UNK,short,,
1515,472.0,-,,space,,
1516,473.0,nec,UNK,short,,
1517,473.0,-,,space,,
1518,473.0,ma,short,short,,
1519,473.0,net,short,short,,
1520,473.0,-,,space,,
1521,473.0,in,short,short,,
1522,473.0,-,,space,,
1523,473.0,aus,UNK,long,,
1524,473.0,tro,UNK,long,,
1525,473.0,-,,space,,
1526,473.0,fit,long,long,,
1527,473.0,gra,short,short,,
1528,473.0,vis,long,long,,
1529,473.0,-,,space,,
1530,473.0,nim,UNK,short,,
1531,473.0,bis,long,long,,
1532,473.0,-,,space,,
1533,473.0,no,short,short,,
1534,473.0,tus,UNK,short,,
1535,473.0,-,,space,,
1536,474.0,im,UNK,short,,
1537,474.0,bre,elision,elision,,
1538,474.0,-,,space,,
1539,474.0,au,UNK,long,,
1540,474.0,get,short,short,,
1541,474.0,-,,space,,
1542,474.0,un,long,long,,
1543,474.0,das,UNK,long,,
1544,474.0,-,,space,,
1545,474.0,eu,long,long,,
1546,474.0,rus,short,short,,
1547,474.0,-,,space,,
1548,474.0,o,short,short,,
1549,474.0,ri,short,short,,
1550,474.0,en,UNK,short,,
1551,474.0,tem,long,long,,
1552,474.0,-,,space,,
1553,474.0,mo,short,short,,
1554,474.0,vet,UNK,short,,
1555,474.0,-,,space,,
1556,475.0,na,short,short,,
1557,475.0,ba,short,short,,
1558,475.0,tae,UNK,long,,
1559,475.0,a,short,short,,
1560,475.0,-,,space,,
1561,475.0,qua,short,short,,
1562,475.0,ti,short,short,,
1563,475.0,ens,UNK,long,,
1564,475.0,-,,space,,
1565,475.0,reg,long,long,,
1566,475.0,na,elision,elision,,
1567,475.0,-,,space,,
1568,475.0,et,short,short,,
1569,475.0,-,,space,,
1570,475.0,e,long,long,,
1571,475.0,o,UNK,short,?,
1572,475.0,os,long,long,,
1573,475.0,-,,space,,
1574,475.0,si,short,short,,
1575,475.0,nus,UNK,short,,
1576,475.0,-,,space,,
1577,476.0,quid,UNK,short,,
1578,476.0,ra,short,short,,
1579,476.0,bi,short,short,,
1580,476.0,dus,short,short,,
1581,476.0,-,,space,,
1582,476.0,o,long,long,,
1583,476.0,ra,UNK,long,?,Plural accusative?
1584,476.0,-,,space,,
1585,476.0,co,long,long,,
1586,476.0,rus,short,short,,
1587,476.0,-,,space,,
1588,476.0,o,long,long,,
1589,476.0,ce,short,short,,
1590,476.0,a,short,short,,
1591,476.0,no,elision,elision,,
1592,476.0,-,,space,,
1593,476.0,ex,long,long,,
1594,476.0,e,short,short,,
1595,476.0,rens,UNK,long,,
1596,476.0,-,,space,,
1597,477.0,mun,UNK,short,,
1598,477.0,dum,long,long,,
1599,477.0,-,,space,,
1600,477.0,re,short,short,,
1601,477.0,vel,long,long,,
1602,477.0,li,UNK,long,,
1603,477.0,-,,space,,
1604,477.0,se,long,long,,
1605,477.0,di,short,short,,
1606,477.0,bus,long,long,,
1607,477.0,-,,space,,
1608,477.0,to,UNK,long,,
1609,477.0,tum,long,long,,
1610,477.0,-,,space,,
1611,477.0,su,short,short,,
1612,477.0,is,UNK,long,,
1613,477.0,-,,space,,
1614,478.0,ip,UNK,short,,
1615,478.0,sos,long,long,,
1616,478.0,que,short,short,,
1617,478.0,-,,space,,
1618,478.0,rup,long,long,,
1619,478.0,to,UNK,long,,
1620,478.0,-,,space,,
1621,478.0,cre,long,long,,
1622,478.0,de,short,short,,
1623,478.0,res,long,long,,
1624,478.0,-,,space,,
1625,478.0,cae,UNK,long,,
1626,478.0,lo,long,long,,
1627,478.0,-,,space,,
1628,478.0,de,short,short,,
1629,478.0,os,UNK,long,,
1630,478.0,-,,space,,
1631,479.0,de,UNK,long,,
1632,479.0,ci,short,short,,
1633,479.0,de,short,short,,
1634,479.0,re,elision,elision,,
1635,479.0,-,,space,,
1636,479.0,et,short,short,,
1637,479.0,-,,space,,
1638,479.0,a,long,long,,
1639,479.0,trum,UNK,short,,
1640,479.0,-,,space,,
1641,479.0,re,long,long,,
1642,479.0,bus,short,short,,
1643,479.0,-,,space,,
1644,479.0,in,long,long,,
1645,479.0,-,,space,,
1646,479.0,du,UNK,long,,
1647,479.0,ci,long,long,,
1648,479.0,-,,space,,
1649,479.0,cha,short,short,,
1650,479.0,os,UNK,short,,
1651,479.0,-,,space,,
1652,480.0,ven,UNK,short,,
1653,480.0,to,long,long,,
1654,480.0,-,,space,,
1655,480.0,re,short,short,,
1656,480.0,sis,long,long,,
1657,480.0,tit,UNK,short,,
1658,480.0,-,,space,,
1659,480.0,aes,UNK,long,,
1660,480.0,tus,short,short,,
1661,480.0,-,,space,,
1662,480.0,et,long,long,,
1663,480.0,-,,space,,
1664,480.0,ven,UNK,short,,
1665,480.0,tus,long,long,,
1666,480.0,-,,space,,
1667,480.0,re,short,short,,
1668,480.0,tro,UNK,long,,
1669,480.0,-,,space,,
1670,481.0,aes,UNK,long,,
1671,481.0,tum,long,long,,
1672,481.0,-,,space,,
1673,481.0,re,short,short,,
1674,481.0,vo,long,long,,
1675,481.0,lit,UNK,short,,
1676,481.0,-,,space,,
1677,481.0,non,long,long,,
1678,481.0,-,,space,,
1679,481.0,ca,short,short,,
1680,481.0,pit,long,long,,
1681,481.0,-,,space,,
1682,481.0,se,UNK,long,,
1683,481.0,se,long,long,,
1684,481.0,-,,space,,
1685,481.0,ma,short,short,,
1686,481.0,re,UNK,short,,
1687,481.0,-,,space,,
1688,482.0,in,UNK,short,,
1689,482.0,-,,space,,
1690,482.0,as,long,long,,
1691,482.0,tra,short,short,,
1692,482.0,-,,space,,
1693,482.0,pon,long,long,,
1694,482.0,tus,UNK,short,,
1695,482.0,-,,space,,
1696,482.0,tol,long,long,,
1697,482.0,li,short,short,,
1698,482.0,tur,long,long,,
1699,482.0,-,,space,,
1700,482.0,cae,UNK,long,,
1701,482.0,lum,long,long,,
1702,482.0,-,,space,,
1703,482.0,pe,short,short,,
1704,482.0,rit,UNK,short,,
1705,482.0,-,,space,,
1706,483.0,un,UNK,short,,
1707,483.0,das,long,long,,
1708,483.0,que,short,short,,
1709,483.0,-,,space,,
1710,483.0,mis,long,long,,
1711,483.0,cent,UNK,short,,
1712,483.0,-,,space,,
1713,483.0,im,long,long,,
1714,483.0,ber,short,short,,
1715,483.0,-,,space,,
1716,483.0,et,long,long,,
1717,483.0,-,,space,,
1718,483.0,fluc,UNK,long,,
1719,483.0,tus,long,long,,
1720,483.0,-,,space,,
1721,483.0,su,short,short,,
1722,483.0,as,UNK,long,,
1723,483.0,-,,space,,
1724,484.0,nec,UNK,short,,
1725,484.0,-,,space,,
1726,484.0,hoc,long,long,,
1727,484.0,-,,space,,
1728,484.0,le,short,short,,
1729,484.0,va,long,long,,
1730,484.0,men,UNK,short,,
1731,484.0,-,,space,,
1732,484.0,de,long,long,,
1733,484.0,ni,short,short,,
1734,484.0,que,elision,elision,,
1735,484.0,-,,space,,
1736,484.0,ae,UNK,long,,
1737,484.0,rum,UNK,short,,
1738,484.0,nis,long,long,,
1739,484.0,-,,space,,
1740,484.0,da,short,short,,
1741,484.0,tur,UNK,short,,
1742,484.0,-,,space,,
1743,485.0,pre,UNK,short,,
1744,485.0,munt,long,long,,
1745,485.0,-,,space,,
1746,485.0,te,short,short,,
1747,485.0,ne,long,long,,
1748,485.0,brae,UNK,long,,
1749,485.0,-,,space,,
1750,485.0,lu,long,long,,
1751,485.0,mi,short,short,,
1752,485.0,na,elision,elision,,
1753,485.0,-,,space,,
1754,485.0,et,long,long,,
1755,485.0,-,,space,,
1756,485.0,di,UNK,long,,
1757,485.0,rae,UNK,long,,
1758,485.0,-,,space,,
1759,485.0,sty,short,short,,
1760,485.0,gis,UNK,short,,
1761,485.0,-,,space,,
1762,486.0,in,UNK,long,,
1763,486.0,fer,long,long,,
1764,486.0,na,short,short,,
1765,486.0,-,,space,,
1766,486.0,nox,long,long,,
1767,486.0,-,,space,,
1768,486.0,est,UNK,short,,
1769,486.0,-,,space,,
1770,486.0,ex,long,long,,
1771,486.0,ci,short,short,,
1772,486.0,dunt,long,long,,
1773,486.0,-,,space,,
1774,486.0,ig,UNK,short,,
1775,486.0,nes,long,long,,
1776,486.0,-,,space,,
1777,486.0,ta,short,short,,
1778,486.0,men,UNK,short,,
1779,486.0,-,,space,,
1780,487.0,et,UNK,short,,
1781,487.0,-,,space,,
1782,487.0,nu,long,long,,
1783,487.0,be,short,short,,
1784,487.0,-,,space,,
1785,487.0,di,long,long,,
1786,487.0,rum,UNK,short,,
1787,487.0,-,,space,,
1788,487.0,ful,long,long,,
1789,487.0,men,short,short,,
1790,487.0,-,,space,,
1791,487.0,e,long,long,,
1792,487.0,li,UNK,long,,
1793,487.0,sa,long,long,,
1794,487.0,-,,space,,
1795,487.0,mi,short,short,,
1796,487.0,cat,UNK,short,,
1797,487.0,-,,space,,
1798,488.0,mi,short,short,,
1799,488.0,se,short,short,,
1800,488.0,ris,long,long,,
1801,488.0,que,short,short,,
1802,488.0,-,,space,,
1803,488.0,lu,long,long,,
1804,488.0,cis,UNK,short,,
1805,488.0,-,,space,,
1806,488.0,tan,long,long,,
1807,488.0,ta,short,short,,
1808,488.0,-,,space,,
1809,488.0,dul,long,long,,
1810,488.0,ce,UNK,short,,
1811,488.0,do,elision,elision,,
1812,488.0,-,,space,,
1813,488.0,est,long,long,,
1814,488.0,-,,space,,
1815,488.0,ma,short,short,,
1816,488.0,lae,UNK,long,,
1817,488.0,-,,space,,
1818,489.0,hoc,UNK,short,,
1819,489.0,-,,space,,
1820,489.0,lu,long,long,,
1821,489.0,men,short,short,,
1822,489.0,-,,space,,
1823,489.0,op,long,long,,
1824,489.0,tant,UNK,short,,
1825,489.0,-,,space,,
1826,489.0,ip,long,long,,
1827,489.0,sa,short,short,,
1828,489.0,-,,space,,
1829,489.0,se,long,long,,
1830,489.0,-,,space,,
1831,489.0,clas,UNK,short,,
1832,489.0,sis,long,long,,
1833,489.0,-,,space,,
1834,489.0,pre,short,short,,
1835,489.0,mit,UNK,short,,
1836,489.0,-,,space,,
1837,490.0,il,UNK,short,,
1838,490.0,lam,long,long,,
1839,490.0,-,,space,,
1840,490.0,de,short,short,,
