title,line,syllable,anceps,length,comment1,comment2
1,450,trat,long,long,,
1,450,-,space,,,
1,450,ra,short,short,,
1,450,tem,UNK,short,,
1,451,iam,UNK,short,,
1,451,-,space,,,
1,451,li,long,long,,
1,451,tus,short,short,,
1,451,-,space,,,
1,451,om,long,long,,
1,451,ne,UNK,short,,
1,451,-,space,,,
1,451,te,short,short,,
1,451,gi,short,short,,
1,451,tur,short,short,,
1,451,-,space,,,
1,451,et,long,long,,
1,451,-,space,,,
1,451,cam,UNK,short,,
1,451,pi,long,long,,
1,451,-,space,,,
1,451,la,short,short,,
1,451,tent,UNK,short,,
1,451,-,space,,,
1,452,et,UNK,short,,
1,452,-,space,,,
1,452,du,short,short,,
1,452,bi,short,short,,
1,452,a,short,short,,
1,452,-,space,,,
1,452,pe,short,short,,
1,452,re,short,short,,
1,452,unt,UNK,short,,
1,452,-,space,,,
1,452,mon,long,long,,
1,452,tis,short,short,,
1,452,-,space,,,
1,452,i,long,long,,
1,452,dae,UNK,long,,
1,452,i,long,long,,
1,452,-,space,,,
1,452,iu,short,short,,
1,452,ga,UNK,short,,
1,452,-,space,,,
1,453,et,UNK,short,,
1,453,-,space,,,
1,453,vix,long,long,,
1,453,-,space,,,
1,453,quod,short,short,,
1,453,-,space,,,
1,453,u,long,long,,
1,453,num,UNK,short,,
1,453,-,space,,,
1,453,per,long,long,,
1,453,vi,short,short,,
1,453,cax,long,long,,
1,453,-,space,,,
1,453,a,short,short,,
1,453,ci,short,short,,
1,453,es,long,long,,
1,453,-,space,,,
1,453,vi,short,short,,
1,453,det,UNK,short,,
1,453,-,space,,,
1,454,i,UNK,long,,
1,454,li,short,short,,
1,454,a,short,short,,
1,454,cus,short,short,,
1,454,-,space,,,
1,454,a,long,long,,
1,454,tra,UNK,long,?,ablative?
1,454,-,space,,,
1,454,fu,long,long,,
1,454,mus,short,short,,
1,454,-,space,,,
1,454,ap,long,long,,
1,454,pa,UNK,long,,
1,454,ret,long,long,,
1,454,-,space,,,
1,454,no,short,short,,
1,454,ta,UNK,long,?,ablative?
1,454,-,space,,,
1,455,iam,UNK,short,,
1,455,-,space,,,
1,455,las,long,long,,
1,455,sa,short,short,,
1,455,-,space,,,
1,455,ti,long,long,,
1,455,tan,UNK,long,?,Pinkster says long
1,455,-,space,,,
1,455,col,long,long,,
1,455,la,short,short,,
1,455,-,space,,,
1,455,re,short,short,,
1,455,le,short,short,,
1,455,va,UNK,long,,
1,455,bat,long,long,,
1,455,-,space,,,
1,455,iu,short,short,,
1,455,go,UNK,long,,
1,455,-,space,,,
1,456,in,UNK,short,,
1,456,-,space,,,
1,456,as,long,long,,
1,456,tra,short,short,,
1,456,-,space,,,
1,456,iam,long,long,,
1,456,-,space,,,
1,456,lux,UNK,long,,
1,456,-,space,,,
1,456,pro,long,long,,
1,456,na,short,short,,
1,456,-,space,,,
1,456,iam,long,long,,
1,456,-,space,,,
1,456,prae,UNK,long,,
1,456,ceps,long,long,,
1,456,di,short,short,,
1,456,es,UNK,long,,
1,456,-,space,,,
1,457,ex,UNK,short,,
1,457,i,short,short,,
1,457,gu,short,short,,
1,457,a,short,short,,
1,457,-,space,,,
1,457,nu,long,long,,
1,457,bes,UNK,long,,
1,457,-,space,,,
1,457,sor,long,long,,
1,457,di,short,short,,
1,457,do,long,long,,
1,457,-,space,,,
1,457,cres,UNK,long,,
1,457,cens,long,long,,
1,457,-,space,,,
1,457,glo,short,short,,
1,457,bo,UNK,long,,
1,457,-,space,,,
1,458,ni,short,short,,
1,458,ti,short,short,,
1,458,dum,long,long,,
1,458,-,space,,,
1,458,ca,short,short,,
1,458,den,long,long,,
1,458,tis,UNK,short,,
1,458,-,space,,,
1,458,in,long,long,,
1,458,qui,short,short,,
1,458,nat,long,long,,
1,458,-,space,,,
1,458,phoe,UNK,long,?,diphthong?
1,458,bi,long,long,,
1,458,-,space,,,
1,458,iu,short,short,,
1,458,bar,UNK,short,,
1,458,-,space,,,
1,459,sus,UNK,short,,
1,459,pec,long,long,,
1,459,ta,short,short,,
1,459,-,space,,,
1,459,va,short,short,,
1,459,ri,short,short,,
1,459,us,UNK,short,,
1,459,-,space,,,
1,459,oc,long,long,,
1,459,ci,short,short,,
1,459,dens,long,long,,
1,459,-,space,,,
1,459,fe,UNK,long,,
1,459,cit,long,long,,
1,459,-,space,,,
1,459,fre,short,short,,
1,459,ta,UNK,short,,
1,459,-,space,,,
1,460,nox,UNK,short,,
1,460,-,space,,,
1,460,pri,long,long,,
1,460,ma,short,short,,
1,460,-,space,,,
1,460,cae,UNK,long,,
1,460,lum,UNK,short,,
1,460,-,space,,,
1,460,spar,long,long,,
1,460,se,short,short,,
1,460,rat,long,long,,
1,460,-,space,,,
1,460,stel,UNK,long,,
1,460,lis,long,long,,
1,460,-,space,,,
1,460,ia,short,short,,
1,460,cent,UNK,short,,
1,460,-,space,,,
1,461,de,UNK,long,,
1,461,ser,long,long,,
1,461,ta,short,short,,
1,461,-,space,,,
1,461,ven,long,long,,
1,461,to,UNK,long,,
1,461,-,space,,,
1,461,ve,long,long,,
1,461,la,short,short,,
1,461,-,space,,,
1,461,tum,long,long,,
1,461,-,space,,,
1,461,mur,UNK,short,,
1,461,mur,long,long,,
1,461,-,space,,,
1,461,gra,short,short,,
1,461,ve,UNK,short,,
1,461,-,space,,,
1,462,ma,UNK,long,,
1,462,io,long,long,,
1,462,ra,short,short,,
1,462,-,space,,,
1,462,mi,short,short,,
1,462,ni,short,short,,
1,462,tans,UNK,long,,
1,462,-,space,,,
1,462,col,long,long,,
1,462,li,short,short,,
1,462,bus,long,long,,
1,462,-,space,,,
1,462,sum,UNK,short,,
1,462,mis,long,long,,
1,462,-,space,,,
1,462,ca,short,short,,
1,462,dit,UNK,short,,
1,462,-,space,,,
1,463,trac,UNK,short,,
1,463,tu,long,long,,
1,463,que,short,short,,
1,463,-,space,,,
1,463,lon,long,long,,
1,463,go,UNK,long,,
1,463,-,space,,,
1,463,li,long,long,,
1,463,tus,short,short,,
1,463,-,space,,,
1,463,ac,long,long,,
1,463,-,space,,,
1,463,pe,UNK,short,,
1,463,trae,UNK,long,,
1,463,-,space,,,
1,463,ge,short,short,,
1,463,munt,UNK,short,,
1,463,-,space,,,
1,464,a,short,short,,
1,464,gi,short,short,,
1,464,ta,long,long,,
1,464,ta,short,short,,
1,464,-,space,,,
1,464,ven,long,long,,
1,464,tis,UNK,long,,
1,464,-,space,,,
1,464,un,long,long,,
1,464,da,short,short,,
1,464,-,space,,,
1,464,ven,long,long,,
1,464,tu,UNK,long,,
1,464,ris,long,long,,
1,464,-,space,,,
1,464,tu,short,short,,
1,464,met,UNK,short,,
1,464,-,space,,,
1,465,nec,UNK,short,,
1,465,-,space,,,
1,465,u,long,long,,
1,465,na,short,short,,
1,465,-,space,,,
1,465,nox,long,long,,
1,465,-,space,,,
1,465,est,UNK,short,,
1,465,-,space,,,
1,465,den,long,long,,
1,465,sa,short,short,,
1,465,-,space,,,
1,465,te,short,short,,
1,465,ne,short,short,,
1,465,bras,UNK,long,,
1,465,-,space,,,
1,465,ob,long,long,,
1,465,ru,short,short,,
1,465,it,UNK,short,,
1,465,-,space,,,
1,466,ca,UNK,long,,
1,466,li,long,long,,
1,466,go,elision,elision,,
1,466,-,space,,,
1,466,et,short,short,,
1,466,-,space,,,
1,466,om,long,long,,
1,466,ni,UNK,long,,
1,466,-,space,,,
1,466,lu,long,long,,
1,466,ce,short,short,,
1,466,-,space,,,
1,466,sub,long,long,,
1,466,duc,UNK,short,,
1,466,ta,long,long,,
1,466,-,space,,,
1,466,fre,short,short,,
1,466,tum,UNK,short,,
1,466,-,space,,,
1,467,cae,UNK,long,,
1,467,lum,long,long,,
1,467,que,short,short,,
1,467,-,space,,,
1,467,mis,long,long,,
1,467,cet,UNK,short,,
1,467,-,space,,,
1,467,un,long,long,,
1,467,di,short,short,,
1,467,que,elision,elision,,
1,467,-,space,,,
1,467,in,long,long,,
1,467,cum,UNK,short,,
1,467,bunt,long,long,,
1,467,-,space,,,
1,467,si,short,short,,
1,467,mul,UNK,short,,
1,467,-,space,,,
1,468,ra,short,short,,
1,468,pi,short,short,,
1,468,unt,long,long,,
1,468,que,short,short,,
1,468,-,space,,,
1,468,pe,short,short,,
1,468,la,short,short,,
1,468,gus,UNK,short,,
1,468,-,space,,,
1,468,in,long,long,,
1,468,fi,short,short,,
1,468,mo,elision,elision,,
1,468,-,space,,,
1,468,e,long,long,,
1,468,ver,UNK,short,,
1,468,sum,long,long,,
1,468,-,space,,,
1,468,so,short,short,,
1,468,lo,UNK,long,,
1,468,-,space,,,
1,469,ad,UNK,short,,
1,469,ver,long,long,,
1,469,sus,short,short,,
1,469,-,space,,,
1,469,eu,short,short,,
1,469,ro,short,short,,
1,469,-,space,,,
1,469,zep,short,short,,
1,469,hy,short,short,,
1,469,rus,short,short,,
1,469,-,space,,,
1,469,et,long,long,,
1,469,-,space,,,
1,469,bo,short,short,,
1,469,re,short,short,,
1,469,ae,UNK,long,,
1,469,-,space,,,
1,469,no,short,short,,
1,469,tus,UNK,short,?,name? Wind?
1,469,-,space,,,
1,470,su,short,short,,
1,470,a,short,short,,
1,470,-,space,,,
1,470,quis,long,long,,
1,470,que,short,short,,
1,470,-,space,,,
1,470,mit,long,long,,
1,470,tunt,UNK,short,,
1,470,-,space,,,
1,470,te,long,long,,
1,470,la,elision,elision,,
1,470,-,space,,,
1,470,et,short,short,,
1,470,-,space,,,
1,470,in,long,long,,
1,470,fes,UNK,short,,
1,470,ti,long,long,,
1,470,-,space,,,
1,470,fre,short,short,,
1,470,tum,UNK,short,,
1,470,-,space,,,
1,471,e,UNK,long,,
1,471,mo,long,long,,
1,471,li,short,short,,
1,471,un,long,long,,
1,471,tur,UNK,short,,
1,471,-,space,,,
1,471,tur,long,long,,
1,471,bo,short,short,,
1,471,-,space,,,
1,471,con,long,long,,
1,471,vo,UNK,short,,
1,471,lit,long,long,,
1,471,-,space,,,
1,471,ma,short,short,,
1,471,re,UNK,short,,
1,471,-,space,,,
1,472,li,short,short,,
1,472,by,short,short,,
1,472,cus,long,long,,
1,472,-,space,,,
1,472,que,elision,elision,,
1,472,ha,short,short,,
1,472,re,long,long,,
1,472,nas,UNK,long,,
1,472,-,space,,,
1,472,aus,UNK,long,,
1,472,ter,short,short,,
1,472,-,space,,,
1,472,ac,long,long,,
1,472,-,space,,,
1,472,syr,UNK,short,,
1,472,tes,long,long,,
1,472,-,space,,,
1,472,a,short,short,,
1,472,git,UNK,short,,
1,472,-,space,,,
1,473,nec,UNK,short,,
1,473,-,space,,,
1,473,ma,short,short,,
1,473,net,short,short,,
1,473,-,space,,,
1,473,in,short,short,,
1,473,-,space,,,
1,473,aus,UNK,long,,
1,473,tro,UNK,long,,
1,473,-,space,,,
1,473,fit,long,long,,
1,473,gra,short,short,,
1,473,vis,long,long,,
1,473,-,space,,,
1,473,nim,UNK,short,,
1,473,bis,long,long,,
1,473,-,space,,,
1,473,no,short,short,,
1,473,tus,UNK,short,,
1,473,-,space,,,
1,474,im,UNK,short,,
1,474,bre,elision,elision,,
1,474,-,space,,,
1,474,au,UNK,long,,
1,474,get,short,short,,
1,474,-,space,,,
1,474,un,long,long,,
1,474,das,UNK,long,,
1,474,-,space,,,
1,474,eu,long,long,,
1,474,rus,short,short,,
1,474,-,space,,,
1,474,o,short,short,,
1,474,ri,short,short,,
1,474,en,UNK,short,,
1,474,tem,long,long,,
1,474,-,space,,,
1,474,mo,short,short,,
1,474,vet,UNK,short,,
1,474,-,space,,,
1,475,na,short,short,,
1,475,ba,short,short,,
1,475,tae,UNK,long,,
1,475,a,short,short,,
1,475,-,space,,,
1,475,qua,short,short,,
1,475,ti,short,short,,
1,475,ens,UNK,long,,
1,475,-,space,,,
1,475,reg,long,long,,
1,475,na,elision,elision,,
1,475,-,space,,,
1,475,et,short,short,,
1,475,-,space,,,
1,475,e,long,long,,
1,475,o,UNK,short,?,
1,475,os,long,long,,
1,475,-,space,,,
1,475,si,short,short,,
1,475,nus,UNK,short,,
1,475,-,space,,,
1,476,quid,UNK,short,,
1,476,ra,short,short,,
1,476,bi,short,short,,
1,476,dus,short,short,,
1,476,-,space,,,
1,476,o,long,long,,
1,476,ra,UNK,long,?,Plural accusative?
1,476,-,space,,,
1,476,co,long,long,,
1,476,rus,short,short,,
1,476,-,space,,,
1,476,o,long,long,,
1,476,ce,short,short,,
1,476,a,short,short,,
1,476,no,elision,elision,,
1,476,-,space,,,
1,476,ex,long,long,,
1,476,e,short,short,,
1,476,rens,UNK,long,,
1,476,-,space,,,
1,477,mun,UNK,short,,
1,477,dum,long,long,,
1,477,-,space,,,
1,477,re,short,short,,
1,477,vel,long,long,,
1,477,li,UNK,long,,
1,477,-,space,,,
1,477,se,long,long,,
1,477,di,short,short,,
1,477,bus,long,long,,
1,477,-,space,,,
1,477,to,UNK,long,,
1,477,tum,long,long,,
1,477,-,space,,,
1,477,su,short,short,,
1,477,is,UNK,long,,
1,477,-,space,,,
1,478,ip,UNK,short,,
1,478,sos,long,long,,
1,478,que,short,short,,
1,478,-,space,,,
1,478,rup,long,long,,
1,478,to,UNK,long,,
1,478,-,space,,,
1,478,cre,long,long,,
1,478,de,short,short,,
1,478,res,long,long,,
1,478,-,space,,,
1,478,cae,UNK,long,,
1,478,lo,long,long,,
1,478,-,space,,,
1,478,de,short,short,,
1,478,os,UNK,long,,
1,478,-,space,,,
1,479,de,UNK,long,,
1,479,ci,short,short,,
1,479,de,short,short,,
1,479,re,elision,elision,,
1,479,-,space,,,
1,479,et,short,short,,
1,479,-,space,,,
1,479,a,long,long,,
1,479,trum,UNK,short,,
1,479,-,space,,,
1,479,re,long,long,,
1,479,bus,short,short,,
1,479,-,space,,,
1,479,in,long,long,,
1,479,-,space,,,
1,479,du,UNK,long,,
1,479,ci,long,long,,
1,479,-,space,,,
1,479,cha,short,short,,
1,479,os,UNK,short,,
1,479,-,space,,,
1,480,ven,UNK,short,,
1,480,to,long,long,,
1,480,-,space,,,
1,480,re,short,short,,
1,480,sis,long,long,,
1,480,tit,UNK,short,,
1,480,-,space,,,
1,480,aes,UNK,long,,
1,480,tus,short,short,,
1,480,-,space,,,
1,480,et,long,long,,
1,480,-,space,,,
1,480,ven,UNK,short,,
1,480,tus,long,long,,
1,480,-,space,,,
1,480,re,short,short,,
1,480,tro,UNK,long,,
1,480,-,space,,,
1,481,aes,UNK,long,,
1,481,tum,long,long,,
1,481,-,space,,,
1,481,re,short,short,,
1,481,vo,long,long,,
1,481,lit,UNK,short,,
1,481,-,space,,,
1,481,non,long,long,,
1,481,-,space,,,
1,481,ca,short,short,,
1,481,pit,long,long,,
1,481,-,space,,,
1,481,se,UNK,long,,
1,481,se,long,long,,
1,481,-,space,,,
1,481,ma,short,short,,
1,481,re,UNK,short,,
1,481,-,space,,,
1,482,in,UNK,short,,
1,482,-,space,,,
1,482,as,long,long,,
1,482,tra,short,short,,
1,482,-,space,,,
1,482,pon,long,long,,
1,482,tus,UNK,short,,
1,482,-,space,,,
1,482,tol,long,long,,
1,482,li,short,short,,
1,482,tur,long,long,,
1,482,-,space,,,
1,482,cae,UNK,long,,
1,482,lum,long,long,,
1,482,-,space,,,
1,482,pe,short,short,,
1,482,rit,UNK,short,,
1,482,-,space,,,
1,483,un,UNK,short,,
1,483,das,long,long,,
1,483,que,short,short,,
1,483,-,space,,,
1,483,mis,long,long,,
1,483,cent,UNK,short,,
1,483,-,space,,,
1,483,im,long,long,,
1,483,ber,short,short,,
1,483,-,space,,,
1,483,et,long,long,,
1,483,-,space,,,
1,483,fluc,UNK,long,,
1,483,tus,long,long,,
1,483,-,space,,,
1,483,su,short,short,,
1,483,as,UNK,long,,
1,483,-,space,,,
1,484,nec,UNK,short,,
1,484,-,space,,,
1,484,hoc,long,long,,
1,484,-,space,,,
1,484,le,short,short,,
1,484,va,long,long,,
1,484,men,UNK,short,,
1,484,-,space,,,
1,484,de,long,long,,
1,484,ni,short,short,,
1,484,que,elision,elision,,
1,484,-,space,,,
1,484,ae,UNK,long,,
1,484,rum,UNK,short,,
1,484,nis,long,long,,
1,484,-,space,,,
1,484,da,short,short,,
1,484,tur,UNK,short,,
1,484,-,space,,,
1,485,pre,UNK,short,,
1,485,munt,long,long,,
1,485,-,space,,,
1,485,te,short,short,,
1,485,ne,long,long,,
1,485,brae,UNK,long,,
1,485,-,space,,,
1,485,lu,long,long,,
1,485,mi,short,short,,
1,485,na,elision,elision,,
1,485,-,space,,,
1,485,et,long,long,,
1,485,-,space,,,
1,485,di,UNK,long,,
1,485,rae,UNK,long,,
1,485,-,space,,,
1,485,sty,short,short,,
1,485,gis,UNK,short,,
1,485,-,space,,,
1,486,in,UNK,long,,
1,486,fer,long,long,,
1,486,na,short,short,,
1,486,-,space,,,
1,486,nox,long,long,,
1,486,-,space,,,
1,486,est,UNK,short,,
1,486,-,space,,,
1,486,ex,long,long,,
1,486,ci,short,short,,
1,486,dunt,long,long,,
1,486,-,space,,,
1,486,ig,UNK,short,,
1,486,nes,long,long,,
1,486,-,space,,,
1,486,ta,short,short,,
1,486,men,UNK,short,,
1,486,-,space,,,
1,487,et,UNK,short,,
1,487,-,space,,,
1,487,nu,long,long,,
1,487,be,short,short,,
1,487,-,space,,,
1,487,di,long,long,,
1,487,rum,UNK,short,,
1,487,-,space,,,
1,487,ful,long,long,,
1,487,men,short,short,,
1,487,-,space,,,
1,487,e,long,long,,
1,487,li,UNK,long,,
1,487,sa,long,long,,
1,487,-,space,,,
1,487,mi,short,short,,
1,487,cat,UNK,short,,
1,487,-,space,,,
1,488,mi,short,short,,
1,488,se,short,short,,
1,488,ris,long,long,,
1,488,que,short,short,,
1,488,-,space,,,
1,488,lu,long,long,,
1,488,cis,UNK,short,,
1,488,-,space,,,
1,488,tan,long,long,,
1,488,ta,short,short,,
1,488,-,space,,,
1,488,dul,long,long,,
1,488,ce,UNK,short,,
1,488,do,elision,elision,,
1,488,-,space,,,
1,488,est,long,long,,
1,488,-,space,,,
1,488,ma,short,short,,
1,488,lae,UNK,long,,
1,488,-,space,,,
1,489,hoc,UNK,short,,
1,489,-,space,,,
1,489,lu,long,long,,
1,489,men,short,short,,
1,489,-,space,,,
1,489,op,long,long,,
1,489,tant,UNK,short,,
1,489,-,space,,,
1,489,ip,long,long,,
1,489,sa,short,short,,
1,489,-,space,,,
1,489,se,long,long,,
1,489,-,space,,,
1,489,clas,UNK,short,,
1,489,sis,long,long,,
1,489,-,space,,,
1,489,pre,short,short,,
1,489,mit,UNK,short,,
1,489,-,space,,,
1,490,il,UNK,short,,
1,490,lam,long,long,,
1,490,-,space,,,
1,490,de,short,short,,
1,490,his,long,long,,
1,490,cens,UNK,long,,
1,490,-,space,,,
1,490,pon,long,long,,
1,490,tus,short,short,,
1,490,-,space,,,
1,490,in,long,long,,
1,490,-,space,,,
1,490,prae,UNK,long,,
1,490,ceps,long,long,,
1,490,-,space,,,
1,490,ra,short,short,,
1,490,pit,UNK,short,,
1,490,-,space,,,
1,491,hau,UNK,long,,
1,491,rit,long,long,,
1,491,que,elision,elision,,
1,491,-,space,,,
1,491,et,short,short,,
1,491,-,space,,,
1,491,al,long,long,,
1,491,to,UNK,long,,
1,491,-,space,,,
1,491,red,long,long,,
1,491,di,short,short,,
1,491,tam,long,long,,
1,491,-,space,,,
1,491,re,short,short,,
1,491,vo,short,short,,
1,491,mit,long,long,,
1,491,-,space,,,
1,491,ma,short,short,,
1,491,ri,UNK,long,,
1,491,-,space,,,
1,492,haec,UNK,long,?,diphthong?
1,492,-,space,,,
1,492,o,short,short,,
1,492,ne,short,short,,
1,492,re,short,short,,
1,492,-,space,,,
1,492,si,long,long,,
1,492,dit,UNK,short,,
1,492,-,space,,,
1,492,il,long,long,,
1,492,la,short,short,,
1,492,-,space,,,
1,492,con,long,long,,
1,492,vul,UNK,short,,
1,492,sum,long,long,,
1,492,-,space,,,
1,492,la,short,short,,
1,492,tus,UNK,short,,
1,492,-,space,,,
1,493,sub,UNK,short,,
1,493,mit,long,long,,
1,493,tit,short,short,,
1,493,-,space,,,
1,493,un,long,long,,
1,493,dis,UNK,long,,
1,493,-,space,,,
1,493,fluc,long,long,,
1,493,tus,short,short,,
1,493,-,space,,,
1,493,hanc,long,long,,
1,493,-,space,,,
1,493,de,short,short,,
1,493,ci,short,short,,
1,493,mus,long,long,,
1,493,-,space,,,
1,493,te,short,short,,
1,493,git,UNK,short,?,diphthong?
1,493,-,space,,,
1,494,haec,UNK,long,?,diphthong?
1,494,-,space,,,
1,494,la,short,short,,
1,494,ce,short,short,,
1,494,ra,elision,elision,,
1,494,-,space,,,
1,494,et,short,short,,
1,494,-,space,,,
1,494,om,long,long,,
1,494,ni,UNK,long,,
1,494,-,space,,,
1,494,de,short,short,,
1,494,co,short,short,,
1,494,re,short,short,,
1,494,-,space,,,
1,494,po,short,short,,
1,494,pu,short,short,,
1,494,la,UNK,long,,
1,494,to,long,long,,
1,494,-,space,,,
1,494,le,short,short,,
1,494,vis,UNK,short,?,nom?
1,494,-,space,,,
1,495,flu,short,short,,
1,495,i,short,short,,
1,495,tat,long,long,,
1,495,-,space,,,
1,495,nec,short,short,,
1,495,-,space,,,
1,495,il,long,long,,
1,495,li,UNK,short,?,adverb?
1,495,-,space,,,
1,495,ve,long,long,,
1,495,la,short,short,,
1,495,-,space,,,
1,495,nec,long,long,,
1,495,-,space,,,
1,495,ton,UNK,long,,
1,495,sae,UNK,long,,
1,495,-,space,,,
1,495,ma,short,short,,
1,495,nent,UNK,short,,
1,495,-,space,,,
1,496,nec,UNK,short,,
1,496,-,space,,,
1,496,rec,long,long,,
1,496,tus,short,short,,
1,496,-,space,,,
1,496,al,long,long,,
1,496,tas,UNK,long,,
1,496,-,space,,,
1,496,ma,long,long,,
1,496,lus,short,short,,
1,496,-,space,,,
1,496,an,long,long,,
1,496,tem,UNK,short,,
1,496,nas,long,long,,
1,496,-,space,,,
1,496,fe,short,short,,
1,496,rens,UNK,long,,
1,496,-,space,,,
1,497,nil,UNK,long,,
1,497,-,space,,,
1,497,ra,short,short,,
1,497,ti,short,short,,
1,497,o,elision,elision,,
1,497,-,space,,,
1,497,et,short,short,,
1,497,-,space,,,
1,497,u,long,long,,
1,497,sus,UNK,short,,
1,497,-,space,,,
1,497,au,UNK,long,,
1,497,det,short,short,,
1,497,-,space,,,
1,497,ars,long,long,,
1,497,-,space,,,
1,497,ces,UNK,short,,
1,497,sit,long,long,,
1,497,-,space,,,
1,497,ma,short,short,,
1,497,lis,UNK,long,,
1,497,-,space,,,
1,498,te,short,short,,
1,498,net,short,short,,
1,498,-,space,,,
1,498,hor,long,long,,
1,498,ror,short,short,,
1,498,-,space,,,
1,498,ar,long,long,,
1,498,tus,UNK,short,,
1,498,-,space,,,
1,498,om,long,long,,
1,498,nis,short,short,,
1,498,-,space,,,
1,498,of,long,long,,
1,498,fi,short,short,,
1,498,ci,short,short,,
1,498,o,long,long,,
1,498,-,space,,,
1,498,stu,short,short,,
1,498,pet,UNK,short,,
1,498,-,space,,,
1,499,na,UNK,long,,
1,499,vi,short,short,,
1,499,ta,short,short,,
1,499,-,space,,,
1,499,re,short,short,,
1,499,lic,long,long,,
1,499,to,UNK,long,,
1,499,-,space,,,
1,499,re,long,long,,
1,499,mus,short,short,,
1,499,-,space,,,
1,499,ef,long,long,,
1,499,fu,UNK,short,,
1,499,git,long,long,,
1,499,-,space,,,
1,499,ma,short,short,,
1,499,nus,UNK,short,,
1,499,-,space,,,
1,500,in,UNK,short,,
1,500,-,space,,,
1,500,vo,long,long,,
1,500,ta,short,short,,
1,500,-,space,,,
1,500,mi,short,short,,
1,500,se,short,short,,
1,500,ros,UNK,long,,
1,500,-,space,,,
1,500,ul,long,long,,
1,500,ti,short,short,,
1,500,mus,long,long,,
1,500,-,space,,,
1,500,co,UNK,long,,
1,500,git,long,long,,
1,500,-,space,,,
1,500,ti,short,short,,
1,500,mor,UNK,short,,
1,500,-,space,,,
1,501,e,short,short,,
1,501,a,short,short,,
1,501,dem,long,long,,
1,501,que,short,short,,
1,501,-,space,,,
1,501,su,short,short,,
1,501,pe,short,short,,
1,501,ros,UNK,long,,
1,501,-,space,,,
1,501,tro,long,long,,
1,501,es,short,short,,
1,501,-,space,,,
1,501,et,long,long,,
1,501,-,space,,,
1,501,da,short,short,,
1,501,na,short,short,,
1,501,i,long,long,,
1,501,-,space,,,
1,501,ro,short,short,,
1,501,gant,UNK,short,,
1,501,-,space,,,
1,502,quid,UNK,short,,
1,502,fa,long,long,,
1,502,ta,short,short,,
1,502,-,space,,,
1,502,pos,long,long,,
1,502,sunt,UNK,short,,
1,502,-,space,,,
1,502,in,long,long,,
1,502,vi,short,short,,
1,502,det,long,long,,
1,502,-,space,,,
1,502,pyr,UNK,short,,
1,502,rhus,long,long,,
1,502,-,space,,,
1,502,pa,short,short,,
1,502,tri,UNK,long,,
1,502,-,space,,,
1,503,a,UNK,short,,
1,503,ia,long,long,,
1,503,ci,elision,elision,,
1,503,-,space,,,
1,503,u,short,short,,
1,503,li,long,long,,
1,503,xes,UNK,long,?,long?
1,503,-,space,,,
1,503,hec,long,long,,
1,503,to,short,short,,
1,503,ri,elision,elision,,
1,503,-,space,,,
1,503,a,long,long,,
1,503,tri,UNK,short,?,short?
1,503,des,long,long,,
1,503,-,space,,,
1,503,mi,short,short,,
1,503,nor,UNK,short,,
1,503,-,space,,,
1,504,a,short,short,,
1,504,ga,short,short,,
1,504,mem,long,long,,
1,504,no,short,short,,
1,504,-,space,,,
1,504,pri,short,short,,
1,504,a,short,short,,
1,504,mo,UNK,long,,
1,504,-,space,,,
1,504,quis,long,long,,
1,504,quis,short,short,,
1,504,-,space,,,
1,504,ad,long,long,,
1,504,-,space,,,
1,504,tro,UNK,short,?,troia syllabification?
1,504,iam,long,long,,
1,504,-,space,,,
1,504,ia,short,short,,
1,504,cet,UNK,short,,
1,504,-,space,,,
1,505,fe,UNK,long,,
1,505,lix,long,long,,
1,505,-,space,,,
1,505,vo,short,short,,
1,505,ca,long,long,,
1,505,tur,UNK,short,,
1,505,-,space,,,
1,505,ca,short,short,,
1,505,de,short,short,,
1,505,re,short,short,,
1,505,-,space,,,
1,505,qui,long,long,,
1,505,-,space,,,
1,505,me,short,short,,
1,505,ru,short,short,,
1,505,it,long,long,,
1,505,-,space,,,
1,505,gra,short,short,,
1,505,du,UNK,long,,
1,505,-,space,,,
1,506,quem,UNK,short,,
1,506,-,space,,,
1,506,fa,long,long,,
1,506,ma,short,short,,
1,506,-,space,,,
1,506,se,long,long,,
1,506,vat,UNK,short,,
1,506,-,space,,,
1,506,vic,long,long,,
1,506,ta,short,short,,
1,506,-,space,,,
1,506,quem,long,long,,
1,506,-,space,,,
1,506,tel,UNK,short,,
1,506,lus,long,long,?,I scanned most -us as short.
1,506,-,space,,,
1,506,te,short,short,,
1,506,git,UNK,short,,
1,506,-,space,,,
1,507,nil,UNK,short,,
1,507,-,space,,,
1,507,no,long,long,,
1,507,bi,short,short,,
1,507,le,elision,elision,,
1,507,-,space,,,
1,507,au,UNK,long,,
1,507,sos,UNK,long,,
1,507,-,space,,,
1,507,pon,long,long,,
1,507,tus,short,short,,
1,507,-,space,,,
1,507,at,long,long,,
1,507,que,elision,elision,,
1,507,-,space,,,
1,507,un,UNK,short,,
1,507,dae,UNK,long,,
1,507,-,space,,,
1,507,fe,short,short,,
1,507,rent,UNK,short,,
1,507,-,space,,,
1,508,ig,UNK,short,,
1,508,na,long,long,,
1,508,va,short,short,,
1,508,-,space,,,
1,508,for,long,long,,
1,508,tes,UNK,long,,
1,508,-,space,,,
1,508,fa,long,long,,
1,508,ta,short,short,,
1,508,-,space,,,
1,508,con,long,long,,
1,508,su,UNK,long,,
